CCLE Cell Line Name	Primary Cell Line Name	Compound	Target	Doses (uM)	Activity Data (median)	Activity SD	Num Data	FitType	EC50 (uM)	IC50 (uM)	Amax	ActArea
NCIH1944_LUNG	NCI-H1944	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.7,3.30,10.1,3.47,-9.4,-5.3,-42,-46	1.82,23.9,5.27,13.5,12.5,24.5,3.67,10.1	8	Sigmoid	1.310901165	8	-46.34920883	0.4428
NCIH1975_LUNG	NCI-H1975	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.5,-22,6.07,-16,-1.1,-7.7,-16,-48	4.77,3.70,1.17,4.51,5.51,3.40,.16,1.51	8	Sigmoid	5.654486656	8	-47.43016052	0.5187
NCIH2009_LUNG	NCI-H2009	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.4,-14,3.96,-3.0,-1.3,-14,-32,-45	14.1,3.23,2.57,5.99,4.18,1.80,5.81,5.40	8	Sigmoid	1.656336308	8	-44.34925842	1.094
NCIH2023_LUNG	NCI-H2023	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.6,-5.3,10.5,-2.7,7.75,-20,-11,-49	13.3,13.5,7.33,3.04,6.12,15.8,2.91,14.9	8	Sigmoid	9.249932719	8	-47.78128433	0.4832
NCIH2030_LUNG	NCI-H2030	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	1.17,6.77,-1.3,-.20,-18,-39,-57,-69	.43,6.43,3.33,4.80,18.4,22.9,2.51,2.23	8	Sigmoid	1.101509809	1.831240416	-69.52604675	1.8416
NCIH2085_LUNG	NCI-H2085	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	13.0,7.51,16.5,14.7,-20,-.61,-23,-34	4.82,1.39,4.87,16.0,13.7,13.1,9.59,8.90	8	Sigmoid	0.166036025	8	-23.60252571	0.6582
NCIH2087_LUNG	NCI-H2087	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.3,-3.0,-6.4,-4.9,7.15,13.4,-12,-32	7.02,8.65,10.2,11.8,12.0,.52,12.3,7.41	8	Sigmoid	2.783833504	8	-32.48584747	0.7401
NCIH211_LUNG	NCI-H211	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	2.44,5.82,-4.6,-2.5,-4.5,-9.3,-5.8,-14	9.44,6.23,6.14,1.93,12.1,8.24,11.5,11.4	8	Constant	NA	8	-7.89563179	0.61
NCIH2122_LUNG	NCI-H2122	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	15.9,-7.2,8.63,-4.5,25.7,-16,-2.6,-69	8.40,25.0,13.9,10.7,.44,17.8,51.2,6.00	8	Sigmoid	2.13380003	3.376755238	-68.86206818	0.8178
NCIH2170_LUNG	NCI-H2170	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-16,-13,-4.7,17.5,-1.5,-26,-49,-81	7.73,17.1,8.06,25.0,3.73,3.17,11.1,6.03	8	Sigmoid	2.381195545	2.416388035	-80.14260864	1.7978
NCIH2172_LUNG	NCI-H2172	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	2.53,-40,-8.2,-27,5.15,3.51,13.6,1.94	48.8,64.9,41.8,6.36,33.9,10.3,14.3,80.9	8	Constant	NA	8	-0.153632596	0.1918
NCIH2228_LUNG	NCI-H2228	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.8,4.75,7.61,-1.3,-3.8,-19,-20,-51	.51,2.48,3.32,4.80,4.57,9.40,2.09,2.06	8	Sigmoid	8.832124634	8	-49.64001846	0.9192
NCIH226_LUNG	NCI-H226	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-9.1,-1.2,-1.6,-5.4,10.9,8.60,-5.2,-1.9	11.7,9.86,1.61,8.18,12.1,1.85,20.3,6.90	8	Constant	NA	8	-0.224474981	0.2167
NCIH2286_LUNG	NCI-H2286	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	4.90,-1.1,1.12,10.0,-12,-25,-45,-56	4.14,6.59,8.77,.29,.12,8.91,7.76,2.44	8	Sigmoid	0.912032068	3.633536339	-55.94872665	2.0052
NCIH23_LUNG	NCI-H23	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-9.2,8.40,-11,-16,21.3,6.92,-2.3,1.58	0,16.1,5.20,1.46,8.09,11.8,16.2,9.25	8	Constant	NA	8	-2.309051275	0.7626
NCIH2444_LUNG	NCI-H2444	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	1.16,-5.1,1.72,-7.0,-5.9,-17,-5.8,-46	7.13,14.9,22.2,8.11,16.5,21.1,15.8,7.64	8	Sigmoid	6.173307419	8	-45.49550247	0.528
NCIH322_LUNG	NCI-H322	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	1.23,-4.8,1.35,1.71,-6.7,-43,-73,-79	1.44,.099,.75,.33,3.33,2.33,3.39,.86	8	Sigmoid	0.747733653	0.965358913	-78.69812775	1.5032
NCIH3255_LUNG	NCI-H3255	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	.11,-8.7,-7.2,-34,-79,-89,-95,-95	4.92,2.50,2.07,6.08,3.77,.025,.91,1.31	8	Sigmoid	0.114181615	0.117367186	-94.11991882	3.9472
NCIH358_LUNG	NCI-H358	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	1.17,-.36,5.76,3.49,6.48,-8.4,-30,-52	.26,.29,.35,11.2,1.23,.32,4.16,4.61	8	Sigmoid	2.199442148	6.738224983	-51.84972763	0.7506
NCIH441_LUNG	NCI-H441	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-9.5,4.55,4.66,8.34,-3.7,-11,-4.5,-41	1.90,1.13,9.45,3.87,2.09,3.85,2.14,1.29	8	Sigmoid	8.279486272	8	-40.50992966	0.7499
NCIH460_LUNG	NCI-H460	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	.55,-3.4,1.72,-.55,-5.3,-1.3,-1.9,-20	12.3,22.0,2.75,12.8,6.37,5.87,1.67,5.09	8	Constant	NA	8	-2.068294048	0.1118
NCIH520_LUNG	NCI-H520	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.6,.53,-14,-14,5.65,-22,-15,-33	2.63,9.04,5.75,1.78,6.78,.37,11.9,8.95	8	Constant	NA	8	-11.72165966	0.7849
NCIH522_LUNG	NCI-H522	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	6.38,9.99,13.2,-8.6,4.89,-27,-24,-26	27.9,13.9,7.45,5.58,6.15,.39,4.60,5.69	8	Sigmoid	0.317755431	8	-27.64705849	0.8378
NCIH647_LUNG	NCI-H647	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.8,-30,24.7,-6.5,1.73,-16,-44,-61	8.90,8.24,3.89,13.1,21.6,11.5,12.7,.22	8	Sigmoid	1.78829968	3.184889317	-60.59897995	1.452
NCIH650_LUNG	NCI-H650	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.5,-2.9,3.18,5.62,-2.3,7.22,.75,-7.0	8.11,11.6,10.9,8.65,1.29,4.22,1.97,15.2	8	Constant	NA	8	0.955363154	0
NCIH661_LUNG	NCI-H661	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.7,-1.5,3.34,-3.7,-4.5,-6.5,-22,-41	7.63,2.48,15.5,11.5,15.4,12.9,17.7,40.6	8	Constant	NA	8	-0.50817579	0.5857
NCIH727_LUNG	NCI-H727	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-36,-2.8,-7.9,25.6,8.47,-8.7,-38,-31	21.7,12.5,15.8,7.97,18.7,15.3,18.7,1.69	8	Linear	NA	8	-34.35335541	1.0985
NCIH810_LUNG	NCI-H810	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.3,-3.5,3.09,4.75,-.47,-5.0,-9.6,11.4	7.69,6.74,7.20,2.58,19.9,4.31,13.8,13.9	8	Constant	NA	8	-3.812523365	0.2285
PC14_LUNG	PC-14	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-14,-11,-2.0,-15,-45,-70,-80,-82	3.05,1.93,.28,5.38,.78,2.37,2.09,1.44	8	Sigmoid	0.265047103	0.309162945	-80.81179047	3.3372
RERFLCAI_LUNG	RERF-LC-AI	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	5.51,-2.9,8.61,.68,5.68,-.18,-4.5,-11	.55,.75,.67,6.33,1.52,3.21,4.90,4.34	8	Constant	NA	8	0.342069954	0
RERFLCMS_LUNG	RERF-LC-MS	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	4.85,7.29,7.27,4.27,7.62,7.01,.47,-9.2	13.5,7.27,11.5,19.0,.93,6.62,14.8,3.08	8	Constant	NA	8	4.795918941	0.06091
SBC5_LUNG	SBC-5	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.4,-7.0,4.87,-4.8,2.38,-5.7,8.43,-7.8	4.16,1.38,1.77,.37,4.75,2.68,3.50,1.31	8	Constant	NA	8	-4.194680691	0.04244
SHP77_LUNG	SHP-77	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-22,5.74,5.14,-2.7,1.82,-3.1,1.58,15.5	4.03,13.7,9.20,9.78,8.24,44.6,5.89,6.44	8	Constant	NA	8	1.431115985	0.2412
SKLU1_LUNG	SK-LU-1	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	.99,-.63,8.65,-12,-8.0,-25,-48,-51	8.60,13.9,10.8,11.0,4.68,22.5,15.0,12.1	8	Sigmoid	0.767554164	4.573153973	-52.56496811	1.7584
SKMES1_LUNG	SK-MES-1	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.3,-3.9,-5.4,-20,.61,-42,-63,-84	.46,10.2,16.7,10.0,11.7,3.33,2.00,4.88	8	Sigmoid	1.589475632	1.335319281	-83.89438629	2.5709
SQ1_LUNG	Sq-1	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	6.24,1.32,-20,-11,2.21,-6.6,-40,-74	3.57,18.8,14.7,11.4,6.97,6.90,2.19,1.20	8	Sigmoid	2.502472639	3.167957306	-73.72931671	1.9154
SW1271_LUNG	SW 1271	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.2,-1.2,-6.6,-8.4,-15,-15,-25,-44	23.0,19.3,10.8,1.23,3.12,12.8,8.12,3.07	8	Sigmoid	8.312214567	8	-43.56542587	1.3076
SW1573_LUNG	SW 1573	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-18,-2.8,3.44,-1.2,-9.6,-10,-20,-23	3.28,.10,3.25,2.17,13.3,6.66,10.5,12.7	8	Constant	NA	8	-9.613012314	0.6893
SW900_LUNG	SW 900	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-.87,8.50,-9.1,.96,-14,-2.9,-16,-28	25.4,30.8,5.24,23.5,.036,4.68,12.8,17.5	8	Constant	NA	8	-12.2955246	0.3648
T3M10_LUNG	T3M-10	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.5,3.91,-8.1,7.07,-9.5,9.71,-11,-21	5.06,2.73,15.6,8.20,2.79,4.13,3.28,3.64	8	Constant	NA	8	-2.541286707	0.03668
VMRCLCD_LUNG	VMRC-LCD	AZD0530	ABL	.0025,.0080,.025,.080,.25,.80,2.53,8	-13,13.4,23.4,.11,12.2,-23,-36,-56	20.6,11.3,26.3,22.3,9.50,15.1,17.2,4.78	8	Sigmoid	1.064626813	4.297634125	-53.87003708	1.4598
A549_LUNG	A549	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.2,-2.7,-1.3,1.03,.21,-3.0,-9.2,-87	3.18,5.37,.082,4.32,1.87,4.70,1.53,8.85	8	Sigmoid	8.102258869	5.782162189	-86.73342896	0.4691
CAL12T_LUNG	CAL-12T	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.7,-5.2,-12,-.054,16.8,11.2,-18,-84	6.79,7.03,.95,5.22,2.88,5.93,2.81,3.46	8	Sigmoid	3.288858891	3.533518076	-84.1787262	1.1889
CALU1_LUNG	Calu-1	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	6.30,11.0,8.05,-2.2,5.51,19.5,9.27,-15	0,9.09,5.41,12.5,5.50,10.3,9.74,9.18	8	Sigmoid	8.979390777	8	-14.82332611	0.08662
CALU3_LUNG	Calu-3	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	1.73,1.73,5.73,-8.0,11.2,8.40,1.03,-42	7.87,9.98,33.3,7.29,25.7,15.0,11.3,14.1	8	Sigmoid	6.664190769	8	-41.74385834	0.4668
CALU6_LUNG	Calu-6	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-18,5.68,-12,9.64,5.41,7.70,-20,-61	7.66,11.2,23.5,6.34,15.4,4.50,17.7,12.9	8	Sigmoid	2.921099663	3.92736125	-61.23783112	0.7092
COLO677_LUNG	COLO-677	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,-.81,2.83,-.86,-1.3,1.94,-18,-67	9.75,4.37,2.37,12.4,3.23,2.51,6.33,1.80	8	Sigmoid	3.098463058	3.806427717	-67.11656189	0.8293
COLO699_LUNG	COLO-699	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-17,7.27,-11,7.06,14.7,3.80,-19,-58	7.65,20.0,30.5,14.2,14.0,14.7,25.5,1.60	8	Linear	NA	1.629916949	-58.3254509	0.7483
CORL105_LUNG	COR-L105	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.3,3.99,-9.0,8.68,-11,19.7,11.6,5.96	18.4,12.2,26.4,8.80,8.25,38.3,11.6,22.5	8	Constant	NA	8	3.342544079	0.2549
CORL23_LUNG	COR-L23	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.3,2.84,-.67,3.15,.70,.22,-1.9,-43	2.66,4.91,3.08,1.82,5.07,2.69,3.80,28.3	8	Sigmoid	7.093375	8	-23.5051403	0.3596
DMS114_LUNG	DMS 114	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-27,-19,-20,-23,-16,-33,-25,-60	5.58,0,9.94,0,8.79,0,24.6,18.9	8	Sigmoid	5.794850826	6.143882275	-59.36783218	2.1489
DV90_LUNG	DV-90	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	28.5,-5.6,14.5,34.6,19.1,-1.5,-5.0,2.74	11.1,19.9,1.88,5.96,30.2,30.6,8.43,32.0	8	Constant	NA	8	14.50169373	0.1697
EBC1_LUNG	EBC-1	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,-9.8,-38,-77,-86,-85,-90,-92	9.65,24.0,4.19,10.6,.16,2.95,1.44,1.60	8	Sigmoid	0.045940842	0.039122928	-90.11182404	4.497
GLC82_LUNG	GLC-82	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.4,-5.5,-.26,7.23,12.3,5.44,3.56,-42	9.60,5.98,4.89,8.37,3.76,3.82,18.1,3.85	8	Sigmoid	5.936676502	8	-41.88184738	0.3521
HARA_LUNG	HARA	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.2,-2.4,-7.6,-2.7,14.1,6.61,.13,-21	4.47,29.4,7.50,19.4,6.16,5.78,.034,6.90	8	Constant	NA	8	0.131114855	0.1488
HCC15_LUNG	HCC-15	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.6,4.68,5.08,15.5,11.1,14.0,-4.2,-48	.041,7.24,11.2,8.96,1.67,6.31,2.93,5.57	8	Sigmoid	3.256439209	8	-47.91797638	0.6549
HCC2935_LUNG	HCC2935	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-9.0,-8.9,-4.8,10.2,-13,-4.8,4.64,-13	7.92,13.9,6.65,27.3,12.8,19.2,3.63,9.06	8	Constant	NA	8	-5.850376129	0.01164
HCC4006_LUNG	HCC4006	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.4,1.13,-8.2,-11,6.11,-6.8,-9.6,-33	11.8,10.1,5.44,6.04,1.95,15.9,4.85,11.4	8	Sigmoid	6.305928707	8	-32.69241333	0.531
HCC44_LUNG	HCC-44	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.6,-3.2,-5.2,-3.9,12.6,13.1,16.2,-6.3	5.10,4.89,6.93,8.10,8.33,2.43,5.60,.45	8	Linear	NA	8	-6.003590107	0.2043
HCC78_LUNG	HCC-78	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	2.37,-5.7,1.33,-9.4,9.07,-14,-18,-38	1.04,9.16,14.2,4.59,8.19,.42,.41,3.47	8	Sigmoid	8.544915984	8	-38.29430389	0.5792
HCC827_LUNG	HCC827	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-10,13.8,-9.4,-19,5.05,7.58,6.41,8.47	42.3,8.55,17.0,5.66,3.68,60.0,11.3,20.9	8	Constant	NA	8	2.278413057	0.3058
HS229T_LUNG	Hs 229.T	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.2,-.28,4.56,3.48,5.92,-10,-6.1,-12	2.35,.66,1.32,5.74,2.80,1.41,7.69,2.56	8	Constant	NA	8	-0.534685433	0.02076
IALM_LUNG	IA-LM	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-23,13.1,-18,11.8,-5.0,23.4,-4.2,7.06	4.78,12.2,8.24,1.63,9.72,.27,23.0,25.0	8	Constant	NA	8	3.236784697	0.5516
KNS62_LUNG	KNS-62	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-23,-17,2.79,11.0,-4.1,8.62,22.0,11.5	14.6,17.1,14.5,8.35,2.97,9.32,11.0,8.22	8	Linear	NA	8	-23.91731834	0.208
LC1SQSF_LUNG	LC-1/sq-SF	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.0,-1.6,13.8,-3.7,11.4,18.5,-.23,2.26	14.7,10.2,17.0,.92,13.3,6.07,2.16,3.66	8	Constant	NA	8	2.545171499	0
LCLC103H_LUNG	LCLC-103H	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.9,11.2,-.42,7.65,6.70,3.76,.44,-11	1.85,2.91,1.34,2.15,10.2,2.23,10.9,12.1	8	Constant	NA	8	1.372845411	0.06502
LOUNH91_LUNG	LOU-NH91	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-14,12.0,6.15,-9.6,7.97,10.2,-9.3,-34	12.4,6.85,5.51,6.46,7.20,18.3,8.82,9.25	8	Sigmoid	2.914171457	8	-34.45108795	0.6149
LU99_LUNG	LU99	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.1,-1.6,8.08,16.2,-5.0,-13,-44,-81	4.93,1.53,6.43,2.64,16.7,1.70,10.2,4.22	8	Sigmoid	2.919942617	2.936535358	-81.16553497	1.2301
LUDLU1_LUNG	LUDLU-1	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	16.0,-.14,-15,3.90,-6.5,14.2,-9.2,-33	9.17,30.2,13.7,9.04,10.5,3.08,0,2.30	8	Sigmoid	8.745860557	8	-33.1395874	0.5817
MORCPR_LUNG	MOR/CPR	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	3.25,-13,10.5,-8.2,18.8,-4.5,-12,-19	15.6,25.9,21.9,2.36,1.13,19.4,4.19,16.9	8	Constant	NA	8	-6.866481781	0.1384
NCIH1048_LUNG	NCI-H1048	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.1,10.5,4.08,12.0,-1.6,8.76,-9.7,-69	8.50,19.0,47.5,13.4,.98,7.74,19.2,2.59	8	Sigmoid	3.371703386	4.13476181	-68.70104218	0.7133
NCIH1092_LUNG	NCI-H1092	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	.091,-2.9,11.5,-16,20.0,-7.6,-3.5,-43	7.77,.42,5.91,3.00,.59,2.77,14.7,3.76	8	Sigmoid	8.997163292	8	-42.76324463	0.286
NCIH1155_LUNG	NCI-H1155	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.8,-12,4.33,.85,7.33,5.82,-49,-61	23.8,2.62,3.07,24.1,9.81,33.8,5.32,18.0	8	Sigmoid	1.92050457	2.580640793	-61.40977478	1.1355
NCIH1184_LUNG	NCI-H1184	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	41.4,-19,-15,16.8,45.5,17.5,69.8,-3.0	70.8,2.04,34.1,61.8,33.7,61.8,40.6,35.0	8	Constant	NA	8	14.04006767	0.3619
NCIH1299_LUNG	NCI-H1299	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	6.88,-8.9,-22,-16,7.72,2.73,-9.9,-28	15.8,.59,23.6,10.5,8.80,8.27,3.59,6.26	8	Constant	NA	8	-8.025426865	0.9098
NCIH1339_LUNG	NCI-H1339	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,-4.6,.26,1.21,5.84,-.020,-9.6,-27	7.73,.21,10.6,3.55,12.7,7.41,1.22,21.6	8	Constant	NA	8	-4.864565372	1.0166
NCIH1341_LUNG	NCI-H1341	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	21.5,-42,12.3,-15,27.2,-11,-32,-72	30.5,11.4,9.66,15.3,19.7,7.30,35.2,6.81	8	Linear	NA	1.201020106	-70.98342896	1.3442
NCIH1355_LUNG	NCI-H1355	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-13,-12,-3.5,-11,2.81,-7.6,-5.8,-54	9.96,13.8,16.8,15.7,15.8,9.16,.92,1.25	8	Sigmoid	7.368442535	7.687539101	-53.72220612	1.1761
NCIH1373_LUNG	NCI-H1373	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.6,-3.3,1.61,6.49,.59,10.0,-9.0,-37	2.96,10.7,5.43,6.13,8.87,5.06,11.3,11.5	8	Sigmoid	3.106575251	8	-36.83575439	0.3264
NCIH1563_LUNG	NCI-H1563	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.6,-2.2,5.41,-1.9,3.34,-7.9,9.61,-32	3.83,3.06,3.27,2.27,9.43,5.80,10.1,.98	8	Sigmoid	8.701791865	8	-31.99773979	0.6033
NCIH1568_LUNG	NCI-H1568	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,3.68,-8.2,-4.9,9.15,8.99,-9.0,-47	7.03,3.29,1.35,.026,1.56,.23,6.31,5.49	8	Sigmoid	3.410626411	8	-46.64033127	1.035
NCIH1573_LUNG	NCI-H1573	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-.27,-13,-10,-16,-1.1,-3.6,-6.9,-18	21.4,19.2,19.7,1.68,22.1,33.5,15.5,8.26	8	Constant	NA	8	-14.6519804	0.8412
NCIH1581_LUNG	NCI-H1581	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,-16,-13,7.30,20.2,14.6,-13,-20	36.3,28.8,3.01,30.1,12.8,14.1,11.1,21.2	8	Constant	NA	8	-5.973279476	0.6256
NCIH1648_LUNG	NCI-H1648	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.4,-12,9.43,-13,27.0,29.6,-3.1,-16	.21,20.7,42.9,7.98,16.1,4.45,5.17,11.2	8	Constant	NA	8	-4.360602379	0.673
NCIH1650_LUNG	NCI-H1650	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.2,-3.3,-4.8,-4.8,10.1,2.67,1.79,-31	1.14,13.6,5.18,4.93,6.76,4.05,8.59,2.57	8	Sigmoid	7.789039135	8	-30.55078125	0.4561
NCIH1651_LUNG	NCI-H1651	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,.018,-16,3.47,1.03,11.2,-11,-26	15.7,2.60,1.57,9.97,8.24,9.03,10.4,15.4	8	Sigmoid	2.796470404	8	-25.56374359	0.7751
NCIH1666_LUNG	NCI-H1666	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-31,3.47,-26,-23,-24,-5.0,.54,-49	9.76,22.2,8.80,0,31.3,0,34.1,7.69	8	Constant	NA	8	-22.36159325	0.806
NCIH1693_LUNG	NCI-H1693	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.2,-7.6,-10,1.09,17.6,.42,11.2,-41	3.49,21.2,12.3,.69,5.21,.67,27.2,3.42	8	Sigmoid	3.562590361	8	-40.86885452	0.9907
NCIH1694_LUNG	NCI-H1694	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	11.6,16.7,38.6,-11,20.2,-2.3,4.10,-37	40.6,10.9,3.55,22.7,29.7,12.3,31.8,8.71	8	Constant	NA	8	5.150338173	0.3931
NCIH1703_LUNG	NCI-H1703	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.6,17.8,-26,-25,17.6,19.3,22.0,9.03	19.0,1.77,14.4,2.04,20.9,13.5,13.7,2.33	8	Constant	NA	8	8.88531971	0.815
NCIH1792_LUNG	NCI-H1792	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.4,-4.8,.19,-.13,11.1,8.43,-4.7,-60	4.14,1.07,5.95,.76,7.78,2.56,.37,5.44	8	Sigmoid	4.05943203	5.448011875	-59.62341309	0.7983
NCIH1793_LUNG	NCI-H1793	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.8,2.28,-16,2.86,7.13,18.3,20.9,7.90	.42,16.8,13.4,6.02,10.8,33.9,2.53,35.4	8	Constant	NA	8	-0.610506773	0.04633
NCIH1869_LUNG	NCI-H1869	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.9,2.38,17.4,10.7,47.7,8.14,16.9,-18	9.02,2.92,8.83,6.34,6.24,48.0,36.2,20.7	8	Constant	NA	8	5.399287224	0.1219
NCIH1915_LUNG	NCI-H1915	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.1,.80,10.0,22.3,20.5,10.5,10.7,-34	14.8,12.5,16.6,21.3,6.81,22.0,16.7,8.19	8	Sigmoid	6.740181446	8	-34.22609329	0.2831
NCIH1944_LUNG	NCI-H1944	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.4,-7.6,-3.8,-3.7,4.79,.50,12.2,-5.4	5.49,40.3,6.82,23.5,21.7,1.23,.080,4.06	8	Constant	NA	8	0.206219435	0
NCIH1975_LUNG	NCI-H1975	PF2341066	c-MET	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.0,-9.0,4.38,-5.7,8.98,8.21,1.43,-30	7.58,4.95,9.27,.55,4.58,2.16,5.22,4.07	8	Sigmoid	7.211946964	8	-29.9696846	0.2606
